1,NA Academy 2022 Spring,CLG.A
9 - 12,Unified Grand Prix 2021 Summer,CLG.A
10,NA Academy 2021 Summer,CLG.A
13 - 16,LCS Proving Grounds 2021 Spring,CLG.A
1,Nerd Street Power Play 2021 Spring,CLG.A
5 - 6,Giant Slayer Gauntlet 2021 Spring,CLG.A
5 - 6,Unified Grand Prix 2021 Spring,CLG.A
8,NA Academy 2021 Spring,CLG.A
8,NA Academy 2019 Spring,GG.A
9,NA Academy 2018 Summer,GG.A
5,NA LCS 2017 Summer,DIG
5 - 6,NA LCS 2017 Spring Playoffs,DIG
6,NA LCS 2017 Spring,DIG
3,NA Regional Finals 2016,NV
5 - 6,NA LCS 2016 Summer Playoffs,NV
6,NA LCS 2016 Summer,NV
5,NA LCS 2016 Spring,NRG
7,NA LCS 2016 Spring,FOX
8,NA LCS 2016 Spring,REN
3 - 4,NACS 2016 Spring Playoffs,MBR
2,NACS 2016 Spring,MBR
7 - 8,HTC Ascension,TDG
4,NACS 2015 Summer,C9T
Q,NACS 2015 Summer Qualifier,C9T
2,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One NA Cup,⁠
1,League One Powered by D!ngIt,C9T
1 - 3,NACL New Year’s Kick-off,NME
5,EPS Season X,PRO
4,NACS 2014 Summer Series 2,PRO
2,BMC NA Summer,⁠
3 - 4,NACL Season 2,PRO
4,EPS Season IX,PRO
1,GottaCon 2014 Championship,PRO
5 - 6,North American Challenger League,CA
2,Playhem Showmatch,⁠
3 - 4,ESL Go4LoL 2012 March,⁠
2,ESL Go4LoL 2012 March,⁠
