9 - 12,NACL 2023 Spring Qualifier 2 Playoffs,MRC
7 - 16,NACL 2023 Spring Qualifier 2,MRC
13 - 16,NACL 2023 Spring Qualifier 1 Playoffs,MIR
7 - 8,UPL 2022 Summer Playoffs,UCI
2,UPL 2022 Summer,⁠
5 - 8,Gateway Legends Collegiate Invitational 2022,UCI
17 - 26,PGCQ 2022 Summer 2 OQ,UCI
5 - 8,CLOL 2022 Championship,UCI
17 - 26,PGCQ 2022 Summer 1 OQ,UCI
5 - 6,UPL 2022 Spring Playoffs,UCI
3,UPL 2022 Spring,⁠
Q,West Conference 2022,UCI
1,Nerd Street Winter Champs 2022 Finals,UCI
17 - 26,PGCQ 2022 Spring 2 OQ,UCI
13 - 16,PGCQ 2022 Spring 1,UCI
2,Nerd Street Winter Champs 2022 Qualifier 4,UCI
7 - 16,PGCQ 2022 Spring 1 OQ,UCI
5 - 8,Nerd Street Winter Champs 2022 Qualifier 3,UCI
3,UPL 2021 Fall,⁠
2,UPL 2021 Summer,⁠
NQ,RCL 2021 Summer Open Qualifier,MERC
4,UPL 2021 Spring,⁠
5,UPL 2021 Winter,⁠
27,RCL 2021 Winter,CCGE
Q,RCL 2021 Winter Open Qualifier,CCGE
