9 - 12,PGCQ 2022 Summer 2,NO
7 - 16,PGCQ 2022 Summer 2 OQ,NO
1,LCS Proving Grounds 2021 Spring,NO
1,Unified Grand Prix 2021 Spring,NO
1,Challengers Uprising Season 2 Playoffs,NO
1,Challengers Uprising Season 2,NO
1,BIG League Season 4 Playoffs,NO
1,BIG League Season 4,⁠
4,RCL 2021 Winter,ANW
5 - 6,RCL 2021 Winter Playoffs,ANW
9,NA Academy 2020 Summer,FLY.A
5 - 6,LCS 2019 Summer Playoffs,OPT
6,LCS 2019 Summer,OPT
7,LCS 2019 Spring,OPT
7,NA LCS 2018 Summer,OPT
5,NA LCS 2017 Summer,DIG
Q,NA LCS 2017 Spring Promotion,FOX
10,NA LCS 2016 Summer,FOX
7,NA LCS 2016 Spring,FOX
1,NACS 2016 Spring,APX
NQ,NA LCS 2016 Spring Promotion,IMG
10,NA LCS 2015 Summer,TDK
3,NACS 2015 Summer,IMG
NQ,NACS 2015 Summer Qualifier,FFG
7 - 10,AlphaDraft Challenger League,STR
5,NA LCS 2014 Summer,CLG
5 - 8,NACS 2014 Summer Series 2,WZG
1,BMC NA Summer,⁠
